longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.26,37.85,52,3618,768,1508,755,3.2619,309600
-122.27,37.85,52,4076,920,1800,815,2.7054,182300
-122.27,37.85,47,2077,400,719,326,2.2431,172700
-122.27,37.85,50,1279,300,675,255,1.9028,150800
-122.27,37.85,52,1974,426,875,363,1.5817,153600
-122.27,37.85,52,335,83,152,77,2.2841,106300
-122.27,37.85,47,1375,307,843,319,1.3785,142300
-122.28,37.85,52,610,145,281,132,2.9018,119400
-122.28,37.85,44,1025,198,506,204,1.73,147900
-122.28,37.85,48,2063,484,1054,466,2.2625,132900
-122.29,37.84,35,1872,419,1017,414,2.2106,132500
-122.28,37.83,52,3108,813,1623,765,2.6997,126900
-122.3,37.84,14,7355,2408,3100,2051,4.0018,143800
-122.23,37.83,52,2990,379,947,361,7.8772,500001
-122.22,37.82,39,2492,310,808,315,11.8603,500001
-122.22,37.82,42,2991,335,1018,335,13.499,500001
-122.23,37.82,52,3242,366,1001,352,12.2138,500001
-122.23,37.82,52,3051,381,1005,369,8.1872,466100
-122.23,37.82,52,3494,396,1192,383,12.3804,500001
-122.24,37.83,52,1757,246,585,227,5.8948,457800
-122.24,37.83,52,2449,312,916,316,8.1194,471600
-122.23,37.82,52,1611,203,556,179,8.7477,500001
-122.24,37.82,52,3665,517,1470,520,6.155,398600
-122.25,37.82,52,2474,403,1104,398,5.883,340700
-122.23,37.76,52,3037,516,1242,518,5.2128,289900
-122.23,37.76,52,2269,323,805,321,4.7188,335300
-122.23,37.76,52,1316,177,378,162,5.2915,333000
-122.24,37.77,52,1153,235,481,223,2.6411,241000
-122.23,37.77,52,772,179,409,160,3.3214,189600
-122.24,37.77,52,1711,386,885,373,3.6417,206300
-122.25,37.77,52,2650,566,1468,567,3.0161,215700
-122.25,37.77,52,1038,220,482,215,3.1771,210200
-122.25,37.77,52,1527,320,825,264,3.4531,208800
-122.25,37.77,52,859,157,429,158,4.3098,197900
-122.26,37.78,52,970,217,528,208,3.3438,201300
-122.26,37.78,52,1045,239,496,216,2.9213,190800
-122.27,37.78,52,1408,280,718,265,2.6806,207900
-122.27,37.78,52,1222,264,630,265,3.7708,215300
